brand,avg_price
MacBook,5.0932833333333336E7
iMac,4.463571428571428E7
Apple,4.087571428571428E7
Gigabyte,3.364714285714286E7
MSI,2.865212121212121E7
Lenovo,2.7695217391304348E7
ASUS,2.6549055118110236E7
Mac,2.5008181818181816E7
LG,2.4623333333333332E7
Gaming,2.2859230769230768E7
Acer,2.0825714285714287E7
Asus,1.974E7
HP,1.892846153846154E7
Dell,1.8837222222222224E7
gaming,1.499E7
Masstel,3590000.0
Avita,
Fujitsu,
Huawei,
,
Vaio,
Samsung,
Alienware,
Macbook,
