ram_clean,storage_clean,product_count
16,512,296
,,163
32,1,78
8,512,63
16,1,54
8,256,19
24,512,17
32,512,15
24,1,6
12,512,6
4,256,4
64,2,4
16,,3
8,1,3
4,512,3
16,256,3
8,8,2
16,8,1
16,16,1
4,64,1
4,128,1
4,500,1
4,,1
128,1,1
64,4,1
4,1,1
32,2,1
64,1,1
