brand,store_name,product_count
ASUS,ASUS,162
Lenovo,Lenovo,154
Dell,Dell,83
HP,HP,83
MSI,MSI,75
MacBook,MacBook,61
Acer,Acer,48
Gigabyte,Gigabyte,18
Gaming,Gaming,16
Mac,Mac,13
iMac,iMac,8
Apple,Apple,8
LG,LG,6
Asus,Asus,3
Vaio,Vaio,3
Alienware,Alienware,1
Macbook,Macbook,1
,,1
Huawei,Huawei,1
Masstel,Masstel,1
Fujitsu,Fujitsu,1
gaming,gaming,1
Avita,Avita,1
Samsung,Samsung,1
