brand,avg_discount_rate
Samsung,0.22833869768470993
Acer,0.11707491573794415
HP,0.11557511978118389
Asus,0.10388031902029601
Dell,0.07012095394828964
MSI,0.06965417165655381
Gigabyte,0.06134363007108922
MacBook,0.05311153378425224
Lenovo,0.04796760345746424
